spanish_frequency_5000
,,,
rank,word,pos,definition
99,seguir,v,"to follow, keep on"
100,quedar,v,"to remain, stay"
101,llevar,v,"to take, carry"
102,encontrar,v,to find
103,bueno,adj,good
104,tan,adv,"such, as, too, so"
105,pensar,v,to think
106,casa,nf,house
107,cada,adj,"each, every"
108,persona,nf,person
109,país,nm,country
110,algo,pron,"something, somewhat"
111,esto,pron,this (n)
112,volver,v,"to return, to V again"
113,usted,pron,you (subj/–fam)
114,salir,v,"to leave, go out"
115,después,adv,after
116,mejor,adj,"best, better (ADV)"
117,menos,adj,"less, fewer"
118,venir,v,to come
119,forma,nf,"form, shape, way"
120,mujer,nf,"woman, wife"
121,momento,nm,"moment, time"
122,llamar,v,"to call, name"
123,mundo,nm,world
124,claro,adj,clear
125,mirar,v,"to look, watch"
126,medios,nm,"means, resources"
127,mientras,conj,"while, whereas, as long as"
128,conocer,v,to know (someone or place)
129,aquel,adj,that (over there)
130,aquí,adv,here
131,aunque,conj,"although, even though"
132,quien,pron,"who, whom"
133,tomar,v,"to take, drink"
134,tres,num,three
135,mano,nf,hand
136,sentir,v,"to feel, regret"
137,gente,nf,people
138,cuándo,adv,when?
139,durante,prep,during
140,hijo,nm,"son, [pl] children"
141,tratar,v,"to try, treat, deal with"
142,vivir,v,to live
143,sino,conj,"but, except, rather"
144,lugar,nm,"place, position"
145,problema,nm,problem
146,hacia,prep,"toward, towards"
147,presidente,nm/f,president
148,cual,pron,"which, who, whom"
149,junto,adj,together
150,luego,adv,"later, afterwards"
151,cómo,adv,how?
152,trabajo,nm,"work, job, effort"
153,caso,nm,"case, occasion"
154,mayor,adj,"larger, older, main"
155,además,adv,"also, as well, besides"
156,acercar,v,to come near
157,esperar,v,"to wait, hope (for), expect"
158,nunca,adv,"never, ever"
159,cierto,adj,"certain, sure, true"
160,hora,nf,"hour, time (specific)"
161,dónde,adv,where?
162,padre,nm,father
163,gustar,v,to be pleasing to
164,noche,nf,"night, evening"
165,nosotros,pron,we (subj)
166,casi,adv,"almost, nearly"
167,hoy,adv,"today, nowadays"
168,tipo,nm,"type, kind"
169,ojo,nm,eye
170,manera,nf,"way, manner"
171,importante,adj,important
172,contar,v,"to tell, count"
173,niño,nm,"child, little boy"
174,trabajar,v,to work
175,empezar,v,"to begin, start"
176,verdad,nf,truth
177,contra,prep,"against, opposite"
178,ciudad,nf,city
179,buscar,v,to look for
180,ahí,adv,there
181,solo,adj,"lonely, alone"
182,fin,nm,end; a f. de: in order to
183,propio,adj,"own, proper, typical"
184,tú,pron,you (subj-sg/ + fam)
185,gobierno,nm,government
186,historia,nf,"history, story"
187,ejemplo,nm,example
188,último,adj,"last, final"
189,punto,nm,"point, dot, period"
190,antes,adv,before
191,mil,num,thousand
192,palabra,nf,word
193,obra,nf,"work, book, deed"
194,existir,v,to exist
195,perder,v,"to lose, miss"
196,cuenta,nf,"bill, account"
197,allí,adv,"there, over there"
198,escribir,v,to write
199,cualquiera,adj,"any, anyone"
200,grupo,nm,group
201,señor,nm,"sir, Mr, lord"
202,pequeño,adj,"little, small, young"
203,embargo,adv,nevertheless
204,agua,nf (el),water
205,realizar,v,"to fulfill, carry out"
206,nadie,pron,"nobody, anybody"
207,entrar,v,to enter
208,arte,nm,"art, skill"
209,leer,v,to read
210,amigo,nm,friend
211,recordar,v,"to remember, remind"
212,morir,v,to die
213,único,adj,"only, unique, sole"
214,lado,nm,side
215,nombre,nm,"name, noun"
216,recibir,v,to receive
217,pedir,v,"to ask for, request"
218,permitir,v,"to allow, permit"
219,preguntar,v,to ask (a question)
220,social,adj,social
221,sistema,nm,system
222,tal,adj,such (a)
223,segundo,adj,second
224,ante,prep,"before, in the presence of"
225,viejo,adj,"old, aged"
226,madre,nf,mother
227,siglo,nm,"century, age"
228,nacional,adj,national
229,entender,v,to understand
230,libro,nm,book
231,alto,adj,"tall, high"
232,cuerpo,nm,body
233,familia,nf,family
234,comenzar,v,"to begin, start"
235,presentar,v,"to introduce, present"
236,bajo,prep,"under, underneath"
237,según,prep,according to
238,frente,adv,front
239,crear,v,to create
240,tema,nm,"theme, subject, topic"
241,cuatro,num,four
242,ah,interj,oh
243,humano,adj,human
244,pueblo,nm,"people, village"
245,producir,v,"to produce, cause"
246,abrir,v,to open
247,idea,nf,idea
248,millón,num,"million, fortune"
249,sentar,v,"to sit (down), seat"
250,aún,adv,"still, yet"
251,caer,v,to fall
252,voz,nf,voice
253,terminar,v,"to finish, end"
254,oír,v,to hear
255,cambiar,v,to change
256,ninguno,adj,"no, none, nobody (PRON)"
257,considerar,v,to consider
258,político,adj,political
259,tierra,nf,"earth, land, ground"
260,realidad,nf,"reality, actuality"
261,convertir,v,"to convert, change, become"
262,español,adj,Spanish
263,igual,adj,"equal, same (as)"
264,todavía,adv,"still, yet"
265,cabeza,nf,head (part of body)
266,derecho,nm,"right, justice, law"
267,mantener,v,"to keep, maintain"
268,utilizar,v,"to use, utilize"
269,calle,nf,street
270,través,prep,"a t. de: through, across"
271,estado,nm,"state, condition, status"
272,relación,nf,"relationship, relation"
273,sacar,v,to take out
274,puerta,nf,door
275,gracias,interj,"thanks, thank you"
276,necesitar,v,to need
277,resultar,v,"to result, turn out"
278,luz,nf,light
279,paso,nm,"step, pace"
280,general,adj,general
281,escuchar,v,to listen to
282,guerra,nf,"war, warfare"
283,amor,nm,love
284,cinco,num,five
285,situación,nf,situation
286,conseguir,v,"to get, acquire, obtain"
287,lograr,v,"to achieve, get, manage"
288,mes,nm,month
289,quién,pron,"who?, whom?"
290,fuerza,nf,"strength, force, power"
291,ocurrir,v,"to happen, occur"
292,aparecer,v,to appear
293,diferente,adj,"different, separate"
294,muerte,nf,death
295,ganar,v,"to win, earn"
296,estudio,nm,"study, learning"
297,nivel,nm,level
298,proceso,nm,"process, procedure"
299,fuera,adv,"out, outside, away"
300,largo,adj,long
301,semana,nf,week
302,partido,nm,"party, group, (sports) match"
303,acabar,v,a. de V: to have just Ved; finish
304,explicar,v,to explain
305,cuyo,pron,whose
306,razón,nf,reason; tener r.: to be right
307,negro,adj,black
308,bastante,adj,"rather, fairly, quite a bit (ADV)"
309,efecto,nm,effect
310,servicio,nm,"service, helpfulness"
311,formar,v,to form
312,económico,adj,economic
313,servir,v,to serve
314,allá,adv,"there, over there"
315,empresa,nf,"firm, company, venture"
316,centro,nm,"center, middle, downtown"
317,usar,v,to use
318,tras,prep,"after, behind"
319,cambio,nm,change; en c.: instead
320,clase,nf,"kind, class, order"
321,distinto,adj,"distinct, different"
322,animal,nm,animal
323,hecho,nm,"fact, happening"
324,número,nm,number
325,dicho,adj,"aforementioned, said"
326,información,nf,information
327,tocar,v,"to touch, play (instrument)"
328,ayudar,v,to help
329,público,adj,public
330,mostrar,v,to show
331,mas,conj,"but, however"
332,estudiar,v,to study
333,hermano,nm,"brother, [pl] siblings"
334,ley,nf,"law, bill, rule"
335,sentido,nm,"sense, feeling"
336,incluso,adv,"including, even (ADV)"
337,cara,nf,"face, expression"
338,principio,nm,"beginning, principle"
339,programa,nm,"program, plan"
340,música,nf,music
341,traer,v,"to bring, carry"
342,campo,nm,"field, country"
343,correr,v,to run
344,actividad,nf,"activity, action"
345,quizás,adv,"perhaps, maybe"
346,alguien,pron,"somebody, someone, anyone"
347,comer,v,to eat
348,acuerdo,nm,accord; de a.: in agreement
349,demás,adj,"the rest, others"
350,siguiente,adj,"following, next"
351,ofrecer,v,"to offer, present"
352,poder,nm,power
353,sociedad,nf,society
354,levantar,v,"to raise, lift"
355,dios,nm/f,"god, divinity"
356,jugar,v,to play (sport/game)
357,época,nf,"time, age, period"
358,color,nm,color
359,zona,nf,"area, zone"
360,malo,adj,bad
361,comprar,v,to buy
362,necesario,adj,necessary
363,camino,nm,"road, route, path"
364,dinero,nm,money
365,pie,nm,"foot, base"
366,final,nmf,"al f.: finally, in the end"
367,tampoco,adv,"neither, nor, either"
368,decidir,v,to decide
369,desarrollo,nm,development
370,movimiento,nm,movement
371,alcanzar,v,"to reach, catch up with"
372,blanco,adj,white
373,equipo,nm,"team, equipment, outfit"
374,difícil,adj,"difficult, hard"
375,desarrollar,v,to develop
376,pronto,adv,"soon, quick"
377,pagar,v,to pay
378,principal,adj,"main, principal"
379,proyecto,nm,"project, plan"
380,valor,nm,"value, worth"
381,meter,v,to put (into)
382,realmente,adv,"really, actually, in fact"
383,sol,nm,sun
384,imagen,nf,"image, picture"
385,cumplir,v,to fulfill
386,varios,adj,"several, various"
387,universidad,nf,"university, college"
388,interés,nm,interest
389,mayoría,nf,majority
390,dirigir,v,"to direct, manage"
391,ello,pron,it (subj-n)
392,tarde,nf,"afternoon, evening"
393,papel,nm,"paper, role, part"
394,producto,nm,product
395,medio,adj,"half, middle"
396,continuar,v,to continue
397,modo,nm,"way, manner; de m. que: so that"
398,rico,adj,"rich, tasty"
399,ojalá,interj,hopefully
400,reconocer,v,"to recognize, admit"
401,aire,nm,"air, wind, appearance"
402,mañana,nf,"morning, tomorrow"
403,dormir,v,to sleep
404,acción,nf,"action, act, deed"
405,pesar,prep,a p. de: in spite of
406,establecer,v,to establish
407,seguro,adj,"safe, sure, secure"
408,vista,nf,"view, sight"
409,juego,nm,"game, play, sport"
410,subir,v,to go up
411,intentar,v,"to try, attempt"
412,personal,adj,personal
413,fondo,nm,"bottom, end"
414,descubrir,v,to discover
415,olvidar,v,to forget
416,experiencia,nf,experience
417,incluir,v,to include
418,condición,nf,condition
419,edad,nf,age
420,andar,v,"to walk, function"
421,orden,nmf,"order; sequence (m), religious (f)"
422,mal,adv,badly
423,joven,nc,"teenager, young person"
424,escuela,nf,school
425,uno,num,one
426,nacer,v,to be born
427,posible,adj,possible
428,aprender,v,to learn
429,serie,nf,series
430,dedicar,v,"to dedicate, devote"
431,necesidad,nf,"necessity, need"
432,suponer,v,"to suppose, assume"
433,aceptar,v,to accept
434,comprender,v,to understand
435,fuerte,adj,strong
436,especial,adj,special
437,iglesia,nf,church
438,seis,num,six
439,obtener,v,to obtain
440,ciento,num,hundred
441,falta,nf,"lack, shortage"
442,política,nf,"politics, policy"
443,especie,nf,"kind, sort, species"
444,real,adj,"royal, real, authentic"
445,cuál,pron,which?
446,antiguo,adj,"old, ancient, former"
447,gracia,nf,"(pl) thank you; grace, favor"
448,santo,nm,saint (m)
449,diez,num,ten
450,tercero,adj,third
451,espacio,nm,"space, room"
452,bajo,adj,"short, low"
453,publicar,v,to publish
454,población,nf,population
455,aspecto,nm,"aspect, appearance"
456,muchacho,nm,boy
457,tarde,adv,late
458,artículo,nm,"article, product, item"
459,cantidad,nf,"quantity, amount"
460,sueño,nm,"dream, sleep"
461,posibilidad,nf,possibility
462,echar,v,"to throw, cast"
463,internacional,adj,international
464,responder,v,"to answer, respond"
465,boca,nf,"mouth, entrance, opening"
466,próximo,adj,next
467,mover,v,"to move, incite"
468,menor,adj,"younger, youngest"
469,cultura,nf,culture
470,brazo,nm,arm
471,uso,nm,use
472,todo,adj,"all, every"
473,libre,adj,"free, vacant"
474,ser,nm,being
475,corazón,nm,"heart, core"
476,línea,nf,"line, course"
477,sitio,nm,"place, space"
478,minuto,nm,minute
479,señalar,v,"to point (out), signal"
480,mar,nmf,sea
481,carrera,nf,"career, course, race"
482,base,nf,"base, basis"
483,suceder,v,to happen
484,bajar,v,"to come down, let down"
485,éste,pron,"this one (m), [ésta (f)]"
486,apenas,adv,"hardly, barely"
487,mercado,nm,market
488,respuesta,nf,"answer, reply"
489,atención,nf,attention
490,educación,nf,education
491,miedo,nm,fear
492,pobre,adj,poor
493,anterior,adj,"previous, preceding"
494,demasiado,adv,too much
495,evitar,v,"to avoid, prevent"
496,río,nm,river
497,comentario,nm,"remark, comment"
498,asegurar,v,"to assure, secure, insure"
499,actual,adj,current
500,imaginar,v,to imagine
501,profesor,nm/f,"professor, teacher"
502,resultado,nm,"result, outcome"
503,detener,v,"to stop, detain"
504,solamente,adv,only
505,sufrir,v,"to suffer, undergo"
506,importar,v,"to matter, import"
507,pregunta,nf,question
508,ocupar,v,"to occupy, use"
509,señora,nf,"Mrs., lady, madam"
510,representar,v,to represent
511,investigación,nf,investigation
512,repetir,v,to repeat
513,autor,nm/f,"writer, author"
514,caminar,v,to walk
515,gastos,nm,"expense, outlay"
516,favor,nm,"favor, benefit"
517,vos,pron,you (subj-sg/ + fam)
518,silencio,nm,silence
519,viaje,nm,"travel, trip"
520,natural,adj,natural
521,cerrar,v,to close
522,resto,nm,"rest, remainder, leftover"
523,comunidad,nf,community
524,faltar,v,to be lacking
525,mesa,nf,"table, board"
526,indicar,v,to indicate
527,función,nf,"function, meeting"
528,vender,v,to sell
529,supuesto,adj,supposed; por s.: of course
530,libertad,nf,"freedom, liberty"
531,organización,nf,organization
532,peso,nm,"peso (money), weight, load"
533,diferencia,nf,difference
534,rojo,adj,red
535,acordar,v,"to remember, remind"
536,ambos,adj,both
537,elemento,nm,element
538,seguridad,nf,"security, safety"
539,cuestión,nf,"question, matter"
540,miembro,nm,"member, limb"
541,duda,nf,doubt
542,desear,v,"to want, desire, wish for"
543,película,nf,"movie, film"
544,dato,nm,"data, fact"
545,región,nf,region
546,sector,nm,"sector, area, section"
547,militar,adj,military
548,dentro,adv,inside
549,iniciar,v,"to initiate, start"
550,destacar,v,"to emphasize, stand out"
551,compañero,nm/f,"companion, classmate"
552,suelo,nm,"ground, floor"
553,referir,v,to refer (to)
554,paz,nf,peace
555,sangre,nf,blood
556,observar,v,to observe
557,precio,nm,"price, cost, value"
558,verdadero,adj,"true, real"
559,soler,v,to be accustomed to
560,crecer,v,"to grow, increase"
561,elegir,v,"to choose, elect"
562,francés,adj,French
563,demostrar,v,"to show, demonstrate"
564,oportunidad,nf,"opportunity, chance"
565,conocimiento,nm,knowledge
566,producción,nf,production
567,objeto,nm,"object, thing"
568,mirada,nf,"gaze, look"
569,autoridad,nf,authority
570,preparar,v,to prepare
571,valer,v,"to be worth, cost"
572,mundial,adj,worldwide
573,regresar,v,to return (to a place)
574,significar,v,to mean
575,interesar,v,to interest
576,matar,v,to kill
577,área,nf (el),"area, zone"
578,opinión,nf,"opinion, view"
579,compartir,v,to share
580,cuánto,adj,how much?
581,capital,nmf,"capital; city (f), money (m)"
582,cabo,nm,"end, bit; llevar a c.: to carry out"
583,inglés,adj,English
584,fácil,adj,easy
585,partir,v,"to divide, leave; a p. de: starting"
586,lengua,nf,"language, tongue, strip (of land)"
587,curso,nm,"course, direction"
588,mandar,v,"to send, order"
589,término,nm,"term (language), end"
590,decisión,nf,decision
591,dolor,nm,"pain, ache, sorrow"
592,director,nm/f,"director, manager, principal"
593,participar,v,to participate
594,causa,nf,cause
595,personaje,nm,character (e.g. movie)
596,rostro,nm,"face, countenance"
597,ocasión,nf,"opportunity, occasion"
598,página,nf,page
599,atrás,adv,"back, behind, ago"
600,llenar,v,to fill
601,esfuerzo,nm,"effort, endeavor"
602,maestro,nm/f,"teacher (m), master"
603,siete,num,seven
604,enfermedad,nf,"illness, sickness"
605,teatro,nm,"theater, drama"
606,acompañar,v,to accompany
607,estilo,nm,style
608,construir,v,"to construct, build"
609,cama,nf,bed (furniture)
610,enseñar,v,"to teach, show"
611,cubrir,v,to cover
612,siquiera,adv,even (if)
613,salud,nf,health
614,oficial,adj,"official, authorized"
615,presencia,nf,"presence, appearance"
616,interesante,adj,interesting
617,ayer,adv,yesterday
618,central,adj,central
619,comunicación,nf,communication
620,cielo,nm,"sky, heaven, ceiling"
621,control,nm,control
622,niña,nf,"child, young girl"
623,mal,nm,evil
624,norte,nm,north
625,plan,nm,plan
626,entregar,v,to deliver
627,carta,nf,"letter, (playing) card"
628,colegio,nm,"(high) school, college"
629,policía,nc,"police, police force, police officer"
630,llorar,v,to cry
631,enorme,adj,"enormous, vast"
632,figura,nf,figure
633,capacidad,nf,capacity
634,comentar,v,to comment on
635,orientar,v,"to guide, show the way"
636,afirmar,v,"to assert, affirm"
637,calidad,nf,quality
638,compañía,nf,company
639,jamás,adv,never
640,fuente,nf,"source, fountain"
641,ocho,num,eight
642,tamaño,nm,"size, dimension"
643,materia,nf,"matter, subject"
644,doctor,nm/f,doctor
645,capaz,adj,"capable, able"
646,dirección,nf,"direction, address"
647,aumentar,v,to increase
648,superior,adj,"superior, upper"
649,responsable,adj,responsible
650,casar,v,to marry
651,prueba,nf,"proof, trial, test"
652,mediante,prep,by means of
653,cuarto,nm,"room, chamber"
654,abierto,adj,"open, unlocked"
655,desaparecer,v,"to disappear, vanish"
656,contrario,adj,"contrary, opposite"
657,objetivo,nm,objective
658,obligar,v,"to obligate, force"
659,julio,nm,July
660,importancia,nf,importance
661,sur,nm,south
662,asunto,nm,"matter, issue, affair"
663,medida,nf,measure; a m. que: to the extent
664,energía,nf,"energy, power"
665,impuestos,nm,taxes
666,apoyar,v,"to support, lean on"
667,posición,nf,position
668,quitar,v,"to remove, take away"
669,contestar,v,"to answer, reply"
670,piel,nf,"skin, hide, fur"
671,provocar,v,"to cause, provoke"
672,alma,nf (el),soul
673,acto,nm,"act, action"
674,década,nf,decade
675,mamá,nf,mom
676,mío,pron,mine
677,dólar,nm,dollar
678,origen,nm,"origin, cause"
679,depender,v,to depend on
680,abandonar,v,"to abandon, leave (a place)"
681,fijar,v,"to set, fix, [se] notice"
682,profesional,adj,professional
683,reír,v,to laugh (at)
684,lleno,adj,"full, filled"
685,tirar,v,"to throw, pull"
686,período,nm,"period, time"
687,guardar,v,"to keep, save"
688,negocio,nm,"business, transaction"
689,material,nm,"material, element"
690,arriba,adv,"up, above"
691,gritar,v,to shout
692,médico,nm/f,doctor
693,domingo,nm,Sunday
694,peor,adj,"worse, worst"
695,os,pron,you (obj-pl/ + fam)
696,notar,v,to notice
697,institución,nf,institution
698,surgir,v,"to appear, spring (forth)"
699,expresar,v,to express
700,amar,v,to love
701,vestir,v,"to wear, dress"
702,físico,adj,physical
703,cubano,adj,Cuban
704,enviar,v,to send
705,modelo,nc,"model, pattern"
706,parar,v,to stop (moving)
707,rey,nm,king
708,éxito,nm,success
709,constituir,v,"to constitute, consist of"
710,cuanto,adj,"en c. a: in terms of, regarding"
711,generar,v,to generate
712,naturaleza,nf,"nature, character"
713,preferir,v,to prefer
714,cultural,adj,cultural
715,conjunto,nm,"group, set"
716,dedo,nm,"finger, toe, digit"
717,cantar,v,to sing
718,futuro,nm,future
719,proponer,v,to propose
720,título,nm,"title, heading"
721,europeo,adj,European
722,adelante,adv,"forward, further"
723,suerte,nf,"luck, fortune"
724,pensamiento,nm,"thought, thinking"
725,ventana,nf,window
726,jefe,nm/f,"leader, boss, manager"
727,chico,nm,boy
728,banco,nm,"(financial) bank, bench"
729,ambiente,nm,"environment, atmosphere"
730,lanzar,v,"to throw, launch"
731,simplemente,adv,"simply, just"
732,permanecer,v,"to stay, remain"
733,romper,v,to break
734,local,adj,local
735,novela,nf,novel
736,extraño,adj,"strange, foreign"
737,privado,adj,private
738,ciencia,nf,"science, knowledge"
739,flor,nf,flower
740,estructura,nf,structure
741,duro,adj,hard
742,común,adj,common
743,pena,nf,trouble; valer la p.: be of worth
744,red,nf,"network, net, system"
745,pieza,nf,"piece, part"
746,golpe,nm,"hit, strike, punch"
747,economía,nf,"economy, economics, thriftiness"
748,árbol,nm,tree
749,literatura,nf,literature
750,defender,v,"to defend, protect"
751,cuidar,v,to take care of
752,informar,v,to inform
753,texto,nm,text
754,elección,nf,"election, choice"
755,cortar,v,to cut
756,fecha,nf,"date, day"
757,especialmente,adv,especially
758,profundo,adj,"deep, profound"
759,conocido,adj,"known, well known"
760,unir,v,"to unite, join (together)"
761,alemán,adj,German
762,actuar,v,to act
763,salvar,v,"to save, rescue"
764,aplicar,v,to apply
765,extranjero,nm/f,foreigner
766,respecto,prep,con r. a: regarding
767,entrada,nf,"entrance, admission ticket"
768,planta,nf,"plant, floor"
769,hija,nf,daughter
770,negar,v,"to deny, refuse"
771,recuerdo,nm,"memory, keepsake"
772,avanzar,v,"to advance, progress"
773,consecuencia,nf,consequence
774,piedra,nf,"stone, rock"
775,costar,v,"to cost, be hard"
776,pierna,nf,leg
777,funcionar,v,"to work, function"
778,pared,nf,(interior) wall
779,motivo,nm,"motive, cause"
780,deseo,nm,"desire, wish"
781,suficiente,adj,"sufficient, enough"
782,ropa,nf,"clothes, clothing"
783,abuela,nf,grandmother
784,ayuda,nf,"help, aid"
785,anunciar,v,"to announce, advertise"
786,reunir,v,"to gather, meet, collect"
787,disponer,v,"to have means, dispose"
788,abajo,adv,"down, below, downward"
789,sostener,v,"to support, hold up"
790,popular,adj,popular
791,precisamente,adv,precisely
792,visitar,v,to visit
793,construcción,nf,construction
794,contener,v,to contain
795,estudiante,nc,student
796,fiesta,nf,"party, feast"
797,lucha,nf,"fight, struggle, wrestle"
798,metro,nm,"meter, subway"
799,mañana,adv,tomorrow
800,rato,nm,"moment, while, time"
801,colocar,v,"to place, position"
802,oscuro,adj,"dark, obscure"
803,sombra,nf,"shade, shadow"
804,expresión,nf,expression
805,separar,v,to separate
806,plaza,nf,"square, marketplace"
807,vivo,adj,"alive, bright"
808,vecino,nm/f,neighbor
809,pretender,v,to attempt
810,isla,nf,island
811,azul,adj,blue
812,verde,adj,green
813,carácter,nm,"personality, nature"
814,viento,nm,"wind, scent"
815,cruzar,v,to cross
816,completo,adj,complete
817,artista,nc,"artist, performer"
818,contacto,nm,contact
819,veinte,num,twenty
820,invitar,v,to invite
821,religioso,adj,religious
822,cargo,nm,"position, charge, fee"
823,nación,nf,nation
824,ministro,nm/f,"(government) secretary, minister"
825,televisión,nf,"TV, television"
826,determinado,adj,"determined, fixed"
827,memoria,nf,memory
828,recoger,v,to pick up
829,treinta,num,thirty
830,histórico,adj,historical
831,extender,v,"to extend, spread"
832,espíritu,nm,"spirit, ghost"
833,lejos,adv,"far (away, off)"
834,mitad,nf,"half, middle"
835,actitud,nf,attitude
836,solución,nf,"solution, answer"
837,público,nm,"public, audience"
838,basar,v,"to base on, base upon"
839,totalmente,adv,"totally, completely"
840,total,adj,"total, entire"
841,sala,nf,"room, hall"
842,acerca,prep,"about, concerning"
843,par,nmf,"pair, couple (m); a la p.: at same time"
844,apoyo,nm,"support, backing"
845,territorio,nm,territory
846,loco,adj,"crazy, insane"
847,mensaje,nm,message
848,unidad,nf,"unit, unity"
849,mexicano,adj,Mexican
850,práctica,nf,"practice, skill"
851,teoría,nf,theory
852,preocupar,v,to worry
853,cuento,nm,"story, tale"
854,exigir,v,to demand
855,mejorar,v,"to improve, get better"
856,serio,adj,serious
857,edificio,nm,building
858,técnica,nf,"technique, skill"
859,noticia,nf,news
860,carne,nf,"meat, flesh"
861,moderno,adj,modern
862,alumno,nm,"student, pupil"
863,oro,nm,gold
864,escritor,nm/f,writer
865,papá,nm,dad
866,teléfono,nm,"phone, telephone"
867,resolver,v,"to resolve, settle, work out"
868,concepto,nm,concept
869,interior,nm,"interior, inside"
870,rápido,adj,"quick, fast"
871,crisis,nf,crisis
872,civil,adj,civil
873,pelo,nm,hair
874,formación,nf,"formation, education"
875,simple,adj,"simple, mere, simpleminded"
876,comercial,adj,"commercial, shopping"
877,riesgo,nm,risk
878,imponer,v,"to impose, enforce"
879,fundamental,adj,fundamental
880,amplio,adj,"wide, ample, broad"
881,afectar,v,to affect
882,foto,nf,"photo, picture"
883,reducir,v,to reduce
884,fuego,nm,"fire, gunfire"
885,aprovechar,v,to take advantage of
886,celebrar,v,to celebrate
887,error,nm,"error, mistake"
888,perro,nm,dog
889,piso,nm,"floor, story"
890,gusto,nm,"pleasure, taste, preference"
891,bonito,adj,"pretty, nice"
892,medir,v,to measure
893,pareja,nf,"couple, pair"
894,despertar,v,"to wake (up), arouse"
895,pesar,v,to weigh
896,costa,nf,coast
897,enfrentar,v,"to confront, face"
898,corresponder,v,to correspond with
899,escapar,v,to escape
900,causar,v,"to cause, bring about"
901,grave,adj,"serious, solemn"
902,viajar,v,to travel
903,cámara,nf,"camera, chamber"
904,vía,nf,"road, way; por v.: by means"
905,ejército,nm,army
906,comida,nf,"food, meal"
907,caballo,nm,horse
908,feliz,adj,"happy, fortunate"
909,mayo,nm,May
910,plata,nf,"silver, money"
911,visita,nf,"visit, visitor, guest"
912,rodear,v,to surround
913,adquirir,v,"to acquire, get"
914,consejo,nm,"advice, council, counsel"
915,responsabilidad,nf,responsibility
916,hoja,nf,"sheet, leaf"
917,encuentro,nm,"meeting, game, skirmish"
918,arma,nf (el),weapon
919,alejar,v,to move away
920,revista,nf,"magazine, journal"
921,pertenecer,v,to belong
922,debido,adj,d. a: due to
923,agregar,v,"to add, gather"
924,trabajador,nm/f,"worker, laborer"
925,generación,nf,generation
926,ciudadano,nm/f,citizen
927,propiedad,nf,property
928,gesto,nm,gesture
929,blog,nm,blog
930,departamento,nm,"department, apartment"
931,agosto,nm,August
